,,,,,
,,,,,
「基幹領域への適用におけるPostgreSQLの抱える課題」(2012/5/28)のその後の状況,,,2016-07-01,,
,,,,,
項番,概要,現状(当時),解決のアプローチ(当時),「解決のアプローチ」の現時点での技術的状況,開発コミュニティへのフィードバック候補
1,オンライン業務に対する性能モデルがない,・一般的なベンチマークツール（DBT-1/DBT-2）を利用,①性能モデルの構築/机上評価シートの作成,作成されていない,
2,バッチ業務に対する性能モデルがない,・一般的なベンチマークツールを利用,①性能モデルの構築/机上評価シートの作成,作成されていない,
3,統計分析処理（BIなど）に対する性能モデルがない,・一般的なベンチマークツール（DBT-3）を利用,①性能モデルの構築/机上評価シートの作成,作成されていない,
4,大容量データ処理に対する性能モデルがない,パーディショニングおよびサーバの分散で対処,①性能モデルの構築/机上評価シートの作成,作成されていない,
5,CPUマルチコアに対する性能懸念,・PostgreSQL 9.2では64コアまで（公表値）,"性能検証結果の公開
※性能検証の結果、マルチコア処理に何か課題があった場合は、開発コミュニティへフィードバック",ＷＧ１にて80コアまでスケールする検証結果を公開済み,○
6,負荷分散方式が確立されていない,"・PostgreSQL-XC
・pgpool-II（参照のみ）",完全同期,最新のpgpool-IIでは非同期レプリケーションでも最新の検索結果をなるべく保証するチューニングが可能になる,
7,同期レプリケーション方式が確立されていない,"Postgres-XCまたはpgpool-IIで対処
ただしPostgres-XCは現状信用性が低く、pgpool-IIでの実現は動作性能低下とのバータとなる",Postgres-XCの性能向上に期待,PostgreSQL-XLが開発されている,
8,クエリキャッシュ機能がない,テーブルを全部メモリ上に持って行き、memcached等メモリキャッシュを使うことで対処,,pgpool-IIのクエリキャッシュも利用可能,
9,パーティショニング機能の不足,アプリケーションがパーティション数の制限を意識したテーブル設計を行い、テーブルごとのパーティション数を制限する。,"・100パーティションを超える場合の構築ノウハウの公開
・パーティションの実装",大容量データのパーティショニングについて検証結果をWG1で報告済み。技術的な課題あり。,○
10,チューニングノウハウの不足,・pgtune()による自動設定（8.xまで）,"①チューニングノウハウの集約
②（①の応用として）自動環境設定ツールのエンハンス",チューニングノウハウの集約は行われていない,
11,実行計画が制御できない,"コスト計算用のパラメータチューニングと、アクセスメソッド、JOINの手法レベルでのチューニング。
テーブルやインデックス定義の見直し（非正規化）やクエリの記述方法の変更による回避。","・性能観点での定義、クエリ記述、パラメータ、物理設計チューニングガイドの提示
・Oracle型のHINT情報の提示
http://wiki.postgresql.org/wiki/Todo#Features_We_Do_Not_Want",pg_hint_planというOSSツールが公開されている。,
12,コストベースオプティマイザに対する不安,同上,同上,同上,
13,初期ロードが遅い,・bulkloadの利用,,変わりなし,
14,サイジング手法が確立されていない,"・社内の一般的なベンチマーク情報、サイズ見積もり手法の提供
・1/nモデルでの検証","ケース別のベンチマーク情報の提供
サイジングTOOLの作成・提供",サイジング情報は公開されていない。,
15,更新系の性能が悪い,,,詳細不明,
16,非IA系CPUアーキテクチャとの相性が悪い,非IA系CPUがSPARC系の場合NUMA構成に問題があるため、現状対処方法が無い。,,変わりなし,
17,高可用クラスタ方式が確立されていない,"・Slony＋HeartBeat構成
・pgpoolII＋HeartBeat構成
・LifeKeeperなどクラスタリング製品構成",,WG3にてpgpool-IIによる高可用性構成を検証済み,
18,クラスタ切り替え時間が遅い,,,false positiveとのバーター？,
19,リモートバックアップ方式（非同期レプリケーション方式）が確立されていない,,,詳細不明,
